200 19900
2 75 18
2 76 14
2 77 77
2 78 10
2 79 10
2 80 90
2 81 90
2 82 13
2 83 98
2 84 91
2 85 62
2 86 10
2 87 61
2 88 64
2 89 46
2 90 78
2 91 98
2 92 34
2 93 69
2 94 12
2 95 80
2 96 54
2 97 69
2 98 33
2 99 49
2 100 44
2 101 7
2 102 74
2 103 85
2 104 20
2 105 70
2 106 28
2 107 90
2 108 74
2 109 63
2 110 27
2 111 48
2 112 42
2 113 100
2 114 100
2 115 68
2 116 32
2 117 92
2 118 12
2 119 92
2 120 99
2 121 30
2 122 91
2 123 53
2 124 89
2 125 84
2 126 94
2 127 42
2 128 10
2 129 89
2 130 37
2 131 27
2 132 22
2 133 36
2 134 42
2 135 25
2 136 52
2 137 99
2 138 6
2 139 79
2 140 96
2 141 3
2 142 48
2 143 81
2 144 69
2 145 87
2 146 25
2 147 61
2 148 34
2 149 57
2 150 31
2 151 8
2 152 54
2 153 20
2 154 52
2 155 59
2 156 83
2 157 8
2 158 11
2 159 8
2 160 57
2 161 33
2 162 7
2 163 27
2 164 28
2 165 90
2 166 67
2 167 31
2 168 44
2 169 93
2 170 29
2 171 94
2 172 61
2 173 96
2 174 27
2 175 19
2 176 11
2 177 47
2 178 4
2 179 92
2 180 88
2 181 31
2 182 100
2 183 52
2 184 75
2 185 61
2 186 89
2 187 77
2 188 12
2 189 68
2 190 37
2 191 71
2 192 75
2 193 9
2 194 60
2 195 73
2 196 21
2 197 11
2 198 79
2 199 35
3 4 89
3 5 35
3 6 29
3 7 49
3 8 35
3 9 61
3 10 31
3 11 78
3 12 12
3 13 24
3 14 89
3 15 48
3 16 27
3 17 83
3 18 3
3 19 84
3 20 72
3 21 70
3 22 25
3 23 63
3 24 92
3 25 9
3 26 69
3 27 62
3 28 11
3 29 42
3 30 85
3 31 39
3 32 59
3 33 78
3 34 62
3 35 52
3 36 83
3 37 55
3 38 63
3 39 18
3 40 12
3 41 19
3 42 29
3 43 99
3 44 40
3 45 75
3 46 62
3 47 75
3 48 51
3 49 31
3 50 99
3 51 6
3 52 75
3 53 94
3 54 30
3 55 35
3 56 6
3 57 68
3 58 78
3 59 44
3 60 32
3 61 18
3 62 78
3 63 64
3 64 79
3 65 98
3 66 74
3 67 43
3 68 31
3 69 79
3 70 75
3 71 14
3 72 73
3 73 66
3 74 23
3 75 56
3 76 22
3 77 16
3 78 15
3 79 20
3 80 97
3 81 13
3 82 17
3 83 54
3 84 5
3 85 35
3 86 74
3 87 63
3 88 37
3 89 75
3 90 28
3 91 67
3 92 89
3 93 91
3 94 21
3 95 90
3 96 88
3 97 85
3 98 77
3 99 6
3 100 52
3 101 91
3 102 71
3 103 57
3 104 27
3 105 2
3 106 24
3 107 46
3 108 14
3 109 65
3 110 6
3 111 2
3 112 60
3 113 11
3 114 28
3 115 40
3 116 26
3 117 28
3 118 66
3 119 28
3 120 9
3 121 91
3 122 49
3 123 58
3 124 55
3 125 52
3 126 89
3 127 49
3 128 71
3 129 28
3 130 68
3 131 72
3 132 12
3 133 44
3 134 52
3 135 70
3 136 20
3 137 65
3 138 34
3 139 83
3 140 42
3 141 59
3 142 8
3 143 71
3 144 98
3 145 25
3 146 26
3 147 69
3 148 54
3 149 22
3 150 18
3 151 46
3 152 57
3 153 93
3 154 55
3 155 23
3 156 69
3 157 58
3 158 64
3 159 69
3 160 25
3 161 30
3 162 12
3 163 48
3 164 38
3 165 15
3 166 91
3 167 11
3 168 83
3 169 69
3 170 9
3 171 76
3 172 2
3 173 39
3 174 28
3 175 55
3 176 48
3 177 20
3 178 3
3 179 88
3 180 22
3 181 34
3 182 43
3 183 3
3 184 15
3 185 19
3 186 68
3 187 12
3 188 35
3 189 52
3 190 54
3 191 21
3 192 98
3 193 82
3 194 89
3 195 19
3 196 95
3 197 1
3 198 60
3 199 32
4 5 26
4 6 3
4 7 68
4 8 74
4 9 37
4 10 37
4 11 29
4 12 26
4 13 31
4 14 46
4 15 44
4 16 88
4 17 16
4 18 49
4 19 47
4 20 79
4 21 70
4 22 57
4 23 65
4 24 31
4 25 12
4 26 21
4 27 57
4 28 71
4 29 50
4 30 6
4 31 97
4 32 25
4 33 76
4 34 86
4 35 86
4 36 30
4 37 34
4 38 64
4 39 7
4 40 89
4 41 41
4 42 19
4 43 59
4 44 82
4 45 79
4 46 66
4 47 14
4 48 83
4 49 65
4 50 86
4 51 45
4 52 46
4 53 69
4 54 4
4 55 53
4 56 34
4 57 73
4 58 90
4 59 93
4 60 70
4 61 75
4 62 88
4 63 64
4 64 5
4 65 62
4 66 62
4 67 45
4 68 68
4 69 33
4 70 25
4 71 64
4 72 54
4 73 75
4 74 54
4 75 38
4 76 85
4 77 30
4 78 46
4 79 51
4 80 53
4 81 9
4 82 98
4 83 96
4 84 52
4 85 57
4 86 13
4 87 54
4 88 14
4 89 78
4 90 70
4 91 40
4 92 87
4 93 45
4 94 45
4 95 58
4 96 31
4 97 72
4 98 14
4 99 23
4 100 85
4 101 32
4 102 1
4 103 46
4 104 12
4 105 53
4 106 46
4 107 18
4 108 59
4 109 42
4 110 6
4 111 83
4 112 66
4 113 33
4 114 32
4 115 79
4 116 77
4 117 98
4 118 11
4 119 45
4 120 72
4 121 23
4 122 37
4 123 68
4 124 30
4 125 83
4 126 33
4 127 30
4 128 78
4 129 11
4 130 43
4 131 68
4 132 36
4 133 100
4 134 35
4 135 75
4 136 73
4 137 47
4 138 3
4 139 22
4 140 51
4 141 57
4 142 58
4 143 39
4 144 12
4 145 25
4 146 62
4 147 15
4 148 79
4 149 87
4 150 92
4 151 16
4 152 53
4 153 20
4 154 84
4 155 42
4 156 87
4 157 63
4 158 12
4 159 9
4 160 64
4 161 2
4 162 59
4 163 15
4 164 36
4 165 32
4 166 57
4 167 58
4 168 52
4 169 100
4 170 96
4 171 13
4 172 19
4 173 94
4 174 80
4 175 91
4 176 32
4 177 64
4 178 43
4 179 15
4 180 37
4 181 94
4 182 77
4 183 27
4 184 29
4 185 31
4 186 69
4 187 85
4 188 20
4 189 46
4 190 82
4 191 81
4 192 14
4 193 5
4 194 99
4 195 50
4 196 2
4 197 38
4 198 10
4 199 49
5 6 3
5 7 50
5 8 37
5 9 79
5 10 64
5 11 57
5 12 18
5 13 57
5 14 22
5 15 37
5 16 2
5 17 42
5 18 26
5 19 85
5 20 15
5 21 25
5 22 20
5 23 41
5 24 33
5 25 40
5 26 17
5 27 36
5 28 97
5 29 91
5 30 54
5 31 41
5 32 9
5 33 26
5 34 59
5 35 35
5 36 78
5 37 56
5 38 60
5 39 26
5 40 97
5 41 87
5 42 85
5 43 98
5 44 53
5 45 21
5 46 89
5 47 89
5 48 26
5 49 84
5 50 2
5 51 61
5 52 67
5 53 33
5 54 24
5 55 24
5 56 21
5 57 2
5 58 97
5 59 77
5 60 94
5 61 54
5 62 15
5 63 5
5 64 7
5 65 3
5 66 2
5 67 22
5 68 43
5 69 82
5 70 62
5 71 4
5 72 1
5 73 66
5 74 74
5 75 39
5 76 40
5 77 21
5 78 36
5 79 21
5 80 30
5 81 50
5 82 22
5 83 8
5 84 85
5 85 29
5 86 50
5 87 85
5 88 15
5 89 22
5 90 53
5 91 33
5 92 65
5 93 39
5 94 40
5 95 74
5 96 5
5 97 74
5 98 86
5 99 85
5 100 22
5 101 88
5 102 68
5 103 77
5 104 39
5 105 62
5 106 68
5 107 45
5 108 92
5 109 92
5 110 34
5 111 94
5 112 79
5 113 99
5 114 9
5 115 23
5 116 70
5 117 31
5 118 80
5 119 57
5 120 69
5 121 73
5 122 34
5 123 100
5 124 50
5 125 91
5 126 35
5 127 89
5 128 36
5 129 31
5 130 42
5 131 88
5 132 21
5 133 6
5 134 82
5 135 78
5 136 61
5 137 76
5 138 14
5 139 42
5 140 99
5 141 89
5 142 89
5 143 4
5 144 81
5 145 29
5 146 89
5 147 27
5 148 20
5 149 69
5 150 63
5 151 99
5 152 98
5 153 74
5 154 95
5 155 74
5 156 42
5 157 44
5 158 25
5 159 14
5 160 68
5 161 26
5 162 95
5 163 85
5 164 98
5 165 89
5 166 3
5 167 35
5 168 39
5 169 57
5 170 57
5 171 26
5 172 74
5 173 58
5 174 76
5 175 24
5 176 60
5 177 19
5 178 10
5 179 2
5 180 40
5 181 100
5 182 78
5 183 31
5 184 5
5 185 7
5 186 64
5 187 95
5 188 68
5 189 30
5 190 100
5 191 16
5 192 4
5 193 48
5 194 26
5 195 14
5 196 11
5 197 84
5 198 58
5 199 20
6 7 85
6 8 32
6 9 58
6 10 6
6 11 8
6 12 40
6 13 57
6 14 14
6 15 85
6 16 82
6 17 11
6 18 10
6 19 32
6 20 65
6 21 70
6 22 38
6 23 9
6 24 65
6 25 5
6 26 99
6 27 84
6 28 86
6 29 36
6 30 8
6 31 46
6 32 47
6 33 95
6 34 53
6 35 93
6 36 94
6 37 21
6 38 73
6 39 5
6 40 43
6 41 50
6 42 28
6 43 14
6 44 16
6 45 1
6 46 82
6 47 21
6 48 36
6 49 29
6 50 68
6 51 8
6 52 60
6 53 72
6 54 24
6 55 41
6 56 49
6 57 2
6 58 54
6 59 57
6 60 25
6 61 75
6 62 8
6 63 25
6 64 59
6 65 19
6 66 22
6 67 22
6 68 36
6 69 41
6 70 20
6 71 27
6 72 81
6 73 50
6 74 74
6 75 57
6 76 69
6 77 88
6 78 88
6 79 51
6 80 10
6 81 68
6 82 61
6 83 57
6 84 62
6 85 91
6 86 63
6 87 40
6 88 93
6 89 8
6 90 92
6 91 64
6 92 62
6 93 50
6 94 12
6 95 73
6 96 34
6 97 24
6 98 57
6 99 26
6 100 75
6 101 52
6 102 61
6 103 60
6 104 50
6 105 47
6 106 10
6 107 50
6 108 61
6 109 3
6 110 84
6 111 46
6 112 84
6 113 48
6 114 49
6 115 97
6 116 80
6 117 64
6 118 48
6 119 44
6 120 3
6 121 97
6 122 73
6 123 10
6 124 16
6 125 78
6 126 50
6 127 55
6 128 93
6 129 48
6 130 8
6 131 60
6 132 68
6 133 35
6 134 57
6 135 83
6 136 21
6 137 52
6 138 96
6 139 85
6 140 35
6 141 91
6 142 80
6 143 35
6 144 56
6 145 89
6 146 39
6 147 71
6 148 78
6 149 29
6 150 62
6 151 9
6 152 89
6 153 54
6 154 94
6 155 100
6 156 66
6 157 7
6 158 73
6 159 32
6 160 100
6 161 53
6 162 50
6 163 36
6 164 3
6 165 46
6 166 10
6 167 15
6 168 52
6 169 77
6 170 35
6 171 90
6 172 30
6 173 22
6 174 69
6 175 38
6 176 17
6 177 38
6 178 67
6 179 66
6 180 16
6 181 16
6 182 76
6 183 23
6 184 49
6 185 38
6 186 40
6 187 18
6 188 86
6 189 19
6 190 4
6 191 50
6 192 70
6 193 46
6 194 91
6 195 43
6 196 77
6 197 65
6 198 60
6 199 28
7 8 51
7 9 28
7 10 52
7 11 72
7 12 6
7 13 85
7 14 98
7 15 44
7 16 60
7 17 68
7 18 86
7 19 6
7 20 85
7 21 22
7 22 18
7 23 83
7 24 53
7 25 84
7 26 89
7 27 65
7 28 21
7 29 89
7 30 73
7 31 51
7 32 89
7 33 83
7 34 84
7 35 36
7 36 87
7 37 59
7 38 15
7 39 29
7 40 86
7 41 71
7 42 48
7 43 78
7 44 11
7 45 37
7 46 64
7 47 13
7 48 5
7 49 96
7 50 28
7 51 57
7 52 56
7 53 43
7 54 30
7 55 23
7 56 3
7 57 76
7 58 41
7 59 31
7 60 64
7 61 74
7 62 13
7 63 94
7 64 26
7 65 56
7 66 17
7 67 89
7 68 19
7 69 80
7 70 60
7 71 2
7 72 58
7 73 46
7 74 79
7 75 23
7 76 51
7 77 79
7 78 29
7 79 100
7 80 18
7 81 8
7 82 10
7 83 97
7 84 88
7 85 21
7 86 92
7 87 44
7 88 53
7 89 90
7 90 18
7 91 98
7 92 45
7 93 58
7 94 94
7 95 49
7 96 1
7 97 56
7 98 81
7 99 39
7 100 95
7 101 4
7 102 31
7 103 73
7 104 54
7 105 12
7 106 33
7 107 36
7 108 44
7 109 75
7 110 34
7 111 82
7 112 31
7 113 61
7 114 26
7 115 67
7 116 3
7 117 6
7 118 99
7 119 12
7 120 22
7 121 48
7 122 34
7 123 81
7 124 48
7 125 46
7 126 92
7 127 18
7 128 42
7 129 31
7 130 59
7 131 6
7 132 59
7 133 98
7 134 23
7 135 97
7 136 98
7 137 67
7 138 36
7 139 6
7 140 66
7 141 65
7 142 39
7 143 25
7 144 57
7 145 46
7 146 87
7 147 78
7 148 89
7 149 18
7 150 27
7 151 3
7 152 7
7 153 74
7 154 63
7 155 41
7 156 61
7 157 75
7 158 96
7 159 74
7 160 11
7 161 94
7 162 31
7 163 38
7 164 58
7 165 60
7 166 56
7 167 100
7 168 20
7 169 30
7 170 45
7 171 70
7 172 34
7 173 80
7 174 64
7 175 13
7 176 96
7 177 92
7 178 1
7 179 69
7 180 14
7 181 10
7 182 27
7 183 26
7 184 2
7 185 84
7 186 75
7 187 34
7 188 23
7 189 83
7 190 58
7 191 50
7 192 8
7 193 20
7 194 8
7 195 60
7 196 72
7 197 53
7 198 96
7 199 98
8 9 87
8 10 31
8 11 93
8 12 4
8 13 40
8 14 65
8 15 46
8 16 3
8 17 38
8 18 36
8 19 99
8 20 30
8 21 77
8 22 67
8 23 19
8 24 93
8 25 79
8 26 9
8 27 59
8 28 6
8 29 55
8 30 45
8 31 39
8 32 33
8 33 13
8 34 45
8 35 60
8 36 35
8 37 100
8 38 62
8 39 20
8 40 1
8 41 97
8 42 69
8 43 94
8 44 39
8 45 85
8 46 80
8 47 31
8 48 75
8 49 84
8 50 92
8 51 17
8 52 94
8 53 67
8 54 13
8 55 37
8 56 52
8 57 48
8 58 13
8 59 18
8 60 63
8 61 69
8 62 51
8 63 45
8 64 100
8 65 9
8 66 1
8 67 76
8 68 42
8 69 20
8 70 12
8 71 82
8 72 27
8 73 1
8 74 70
8 75 61
8 76 63
8 77 64
8 78 48
8 79 73
8 80 53
8 81 12
8 82 83
8 83 94
8 84 18
8 85 59
8 86 16
8 87 7
8 88 16
8 89 75
8 90 78
8 91 5
8 92 67
8 93 53
8 94 54
8 95 55
8 96 1
8 97 85
8 98 32
8 99 63
8 100 38
8 101 16
8 102 79
8 103 50
8 104 48
8 105 67
8 106 61
8 107 51
8 108 95
8 109 92
8 110 94
8 111 23
8 112 55
8 113 59
8 114 9
8 115 13
8 116 81
8 117 82
8 118 74
8 119 69
8 120 14
8 121 2
8 122 4
8 123 1
8 124 78
8 125 81
8 126 100
8 127 55
8 128 9
8 129 82
8 130 27
8 131 43
8 132 99
8 133 91
8 134 16
8 135 28
8 136 87
8 137 18
8 138 28
8 139 81
8 140 76
8 141 35
8 142 28
8 143 34
8 144 69
8 145 87
8 146 87
8 147 48
8 148 29
8 149 3
8 150 42
8 151 86
8 152 30
8 153 26
8 154 39
8 155 43
8 156 71
8 157 81
8 158 79
8 159 80
8 160 30
8 161 60
8 162 56
8 163 88
8 164 42
8 165 59
8 166 37
8 167 7
8 168 55
8 169 31
8 170 80
8 171 30
8 172 96
8 173 13
8 174 25
8 175 32
8 176 82
8 177 23
8 178 36
8 179 58
8 180 47
8 181 60
8 182 56
8 183 25
8 184 49
8 185 37
8 186 7
8 187 6
8 188 50
8 189 61
8 190 54
8 191 11
8 192 81
8 193 65
8 194 40
8 195 40
8 196 38
8 197 93
8 198 58
8 199 48
9 10 15
9 11 71
9 12 85
9 13 90
9 14 42
9 15 32
9 16 75
9 17 8
9 18 6
9 19 48
9 20 4
9 21 66
9 22 47
9 23 78
9 24 35
9 25 46
9 26 71
9 27 99
9 28 67
9 29 88
9 30 88
9 31 17
9 32 67
9 33 11
9 34 71
9 35 13
9 36 22
9 37 40
9 38 63
9 39 35
9 40 3
9 41 18
9 42 70
9 43 74
9 44 82
9 45 27
9 46 38
9 47 26
9 48 40
9 49 30
9 50 5
9 51 81
9 52 83
9 53 8
9 54 74
9 55 87
9 56 5
9 57 12
9 58 26
9 59 19
9 60 67
9 61 47
9 62 30
9 63 22
9 64 16
9 65 24
9 66 85
9 67 57
9 68 58
9 69 27
9 70 76
9 71 95
9 72 28
9 73 58
9 74 3
9 75 45
9 76 23
9 77 41
9 78 24
9 79 66
9 80 6
9 81 57
9 82 43
9 83 55
9 84 44
9 85 96
9 86 43
9 87 3
9 88 38
9 89 62
9 90 10
9 91 6
9 92 61
9 93 5
9 94 92
9 95 76
9 96 3
9 97 75
9 98 91
9 99 37
9 100 86
9 101 57
9 102 3
9 103 41
9 104 44
9 105 64
9 106 56
9 107 84
9 108 89
9 109 24
9 110 60
9 111 98
9 112 70
9 113 20
9 114 18
9 115 4
9 116 10
9 117 27
9 118 82
9 119 8
9 120 88
9 121 6
9 122 93
9 123 32
9 124 72
9 125 38
9 126 17
9 127 55
9 128 22
9 129 55
9 130 95
9 131 14
9 132 17
9 133 1
9 134 58
9 135 81
9 136 15
9 137 44
9 138 66
9 139 45
9 140 20
9 141 70
9 142 97
9 143 32
9 144 92
9 145 85
9 146 15
9 147 10
9 148 35
9 149 74
9 150 84
9 151 73
9 152 41
9 153 42
9 154 75
9 155 7
9 156 81
9 157 89
9 158 63
9 159 47
9 160 81
9 161 67
9 162 70
9 163 32
9 164 23
9 165 69
9 166 64
9 167 32
9 168 37
9 169 75
9 170 92
9 171 26
9 172 85
9 173 22
9 174 72
9 175 89
9 176 51
9 177 32
9 178 10
9 179 3
9 180 18
9 181 72
9 182 44
9 183 97
9 184 8
9 185 33
9 186 9
9 187 30
9 188 65
9 189 32
9 190 56
9 191 2
9 192 54
9 193 90
9 194 61
9 195 62
9 196 1
9 197 67
9 198 95
9 199 74
10 11 79
10 12 50
10 13 61
10 14 92
10 15 93
10 16 53
10 17 99
10 18 53
10 19 3
10 20 37
10 21 89
10 22 94
10 23 52
10 24 82
10 25 77
10 26 56
10 27 10
10 28 22
10 29 33
10 30 31
10 31 64
10 32 54
10 33 34
10 34 65
10 35 57
10 36 34
10 37 44
10 38 44
10 39 74
10 40 11
10 41 17
10 42 99
10 43 61
10 44 16
10 45 72
10 46 39
10 47 59
10 48 66
10 49 52
10 50 13
10 51 17
10 52 47
10 53 64
10 54 24
10 55 51
10 56 86
10 57 45
10 58 16
10 59 43
10 60 17
10 61 17
10 62 89
10 63 15
10 64 18
10 65 44
10 66 10
10 67 72
10 68 71
10 69 24
10 70 89
10 71 30
10 72 41
10 73 36
10 74 4
10 75 1
10 76 58
10 77 73
10 78 20
10 79 30
10 80 11
10 81 52
10 82 41
10 83 23
10 84 90
10 85 1
10 86 95
10 87 9
10 88 52
10 89 25
10 90 39
10 91 83
10 92 6
10 93 3
10 94 51
10 95 60
10 96 8
10 97 15
10 98 12
10 99 10
10 100 39
10 101 42
10 102 80
10 103 95
10 104 64
10 105 21
10 106 63
10 107 78
10 108 75
10 109 98
10 110 42
10 111 44
10 112 25
10 113 3
10 114 53
10 115 90
10 116 54
10 117 24
10 118 46
10 119 89
10 120 99
10 121 38
10 122 3
10 123 42
10 124 12
10 125 10
10 126 19
10 127 1
10 128 8
10 129 76
10 130 76
10 131 27
10 132 37
10 133 18
10 134 38
10 135 44
10 136 14
10 137 21
10 138 19
10 139 35
10 140 66
10 141 57
10 142 60
10 143 23
10 144 86
10 145 35
10 146 38
10 147 84
10 148 21
10 149 98
10 150 47
10 151 82
10 152 51
10 153 85
10 154 57
10 155 58
10 156 3
10 157 5
10 158 6
10 159 58
10 160 29
10 161 24
10 162 43
10 163 70
10 164 37
10 165 72
10 166 31
10 167 19
10 168 56
10 169 36
10 170 29
10 171 73
10 172 41
10 173 98
10 174 19
10 175 49
10 176 81
10 177 1
10 178 78
10 179 90
10 180 73
10 181 70
10 182 38
10 183 99
10 184 54
10 185 41
10 186 80
10 187 58
10 188 36
10 189 35
10 190 40
10 191 89
10 192 89
10 193 71
10 194 31
10 195 37
10 196 26
10 197 100
10 198 20
10 199 9
11 12 8
11 13 48
11 14 73
11 15 61
11 16 38
11 17 95
11 18 83
11 19 88
11 20 29
11 21 66
11 22 9
11 23 91
11 24 62
11 25 91
11 26 25
11 27 65
11 28 1
11 29 23
11 30 87
11 31 17
11 32 29
11 33 15
11 34 16
11 35 62
11 36 49
11 37 50
11 38 12
11 39 26
11 40 81
11 41 4
11 42 72
11 43 13
11 44 34
11 45 32
11 46 30
11 47 2
11 48 53
11 49 70
11 50 78
11 51 21
11 52 12
11 53 48
11 54 92
11 55 56
11 56 90
11 57 38
11 58 86
11 59 30
11 60 33
11 61 43
11 62 26
11 63 63
11 64 54
11 65 98
11 66 56
11 67 22
11 68 6
11 69 75
11 70 78
11 71 58
11 72 9
11 73 30
11 74 76
11 75 87
11 76 43
11 77 46
11 78 60
11 79 41
11 80 24
11 81 44
11 82 18
11 83 95
11 84 12
11 85 86
11 86 20
11 87 45
11 88 57
11 89 13
11 90 79
11 91 27
11 92 63
11 93 46
11 94 29
11 95 53
11 96 76
11 97 52
11 98 49
11 99 31
11 100 61
11 101 3
11 102 3
11 103 19
11 104 49
11 105 29
11 106 48
11 107 31
11 108 51
11 109 31
11 110 75
11 111 61
11 112 7
11 113 99
11 114 20
11 115 3
11 116 3
11 117 90
11 118 10
11 119 81
11 120 3
11 121 28
11 122 97
11 123 88
11 124 90
11 125 26
11 126 44
11 127 53
11 128 49
11 129 74
11 130 55
11 131 61
11 132 88
11 133 23
11 134 81
11 135 31
11 136 33
11 137 68
11 138 63
11 139 87
11 140 17
11 141 58
11 142 84
11 143 56
11 144 81
11 145 25
11 146 50
11 147 42
11 148 74
11 149 29
11 150 25
11 151 86
11 152 14
11 153 35
11 154 16
11 155 41
11 156 8
11 157 55
11 158 52
11 159 42
11 160 14
11 161 6
11 162 11
11 163 42
11 164 99
11 165 8
11 166 20
11 167 87
11 168 57
11 169 84
11 170 20
11 171 50
11 172 54
11 173 3
11 174 62
11 175 28
11 176 71
11 177 65
11 178 25
11 179 79
11 180 74
11 181 1
11 182 10
11 183 43
11 184 64
11 185 8
11 186 19
11 187 64
11 188 75
11 189 18
11 190 72
11 191 72
11 192 98
11 193 19
11 194 48
11 195 83
11 196 19
11 197 85
11 198 38
11 199 46
12 13 76
12 14 91
12 15 9
12 16 37
12 17 3
12 18 85
12 19 3
12 20 85
12 21 96
